Date,SSO,UBT,UST,UGL
01/02/2015,32.03,41.08,56.02,38.7
01/05/2015,30.87,42.37,56.74,39.82
01/06/2015,30.31,43.75,57.5,40.81
01/07/2015,31.07,43.73,57.41,40.3
01/08/2015,32.16,42.38,56.96,40.01
01/09/2015,31.61,43.45,57.54,40.87
01/12/2015,31.12,44.14,57.93,41.78
1/13/2015,30.96,43.85,58.11,41.53
1/14/2015,30.57,44.6,58.62,41.39
1/15/2015,30.02,46.06,59.63,43.37
1/16/2015,30.79,44.89,58.74,44.6
1/20/2015,30.93,46.07,59.02,45.88
1/21/2015,31.23,45.06,58.46,45.96
1/22/2015,32.16,44.64,58.13,46.62
1/23/2015,31.8,45.85,58.92,45.96
1/26/2015,31.96,45.64,58.66,44.96
1/27/2015,31.12,45.69,58.78,45.91
1/28/2015,30.31,47.24,59.68,45.27
1/29/2015,30.89,46.72,59.26,43.26
1/30/2015,30.11,48.5,60.28,45.12
02/02/2015,30.82,47.97,60.12,44.45
02/03/2015,31.72,46.08,59.15,43.55
02/04/2015,31.48,46.17,59.29,43.83
02/05/2015,32.14,45.04,58.89,44.02
02/06/2015,31.94,43.56,57.54,41.76
02/09/2015,31.65,43.28,57.49,42.19
02/10/2015,32.31,42.7,57.22,41.67
02/11/2015,32.36,42.78,57.15,40.72
02/12/2015,32.98,42.46,57.18,40.91
2/13/2015,33.25,41.74,56.86,41.23
2/17/2015,33.38,40.37,56.02,39.95
2/18/2015,33.37,40.73,56.5,40.12
2/19/2015,33.33,40.4,56.28,39.9
2/20/2015,33.71,40.58,56.14,39.42
2/23/2015,33.7,41.48,56.67,39.54
2/24/2015,33.9,42.47,57.44,39.33
2/25/2015,33.82,42.9,57.59,39.7
2/26/2015,33.75,41.8,56.94,39.94
2/27/2015,33.54,42.45,57.32,40.07
03/02/2015,33.94,40.85,56.46,39.65
03/03/2015,33.66,40.63,56.17,39.48
03/04/2015,33.39,40.71,56.26,39.31
03/05/2015,33.45,40.65,56.34,39.22
03/06/2015,32.51,38.77,55.2,37.12
03/09/2015,32.78,39.42,55.67,37.12
03/10/2015,31.71,40.42,56.18,36.74
03/11/2015,31.57,41.15,56.38,36.37
03/12/2015,32.36,40.92,56.41,36.32
3/13/2015,31.98,40.73,56.39,36.38
3/16/2015,32.82,41.54,56.64,36.45
3/17/2015,32.61,42.17,56.94,35.98
3/18/2015,33.39,43.86,58.09,37.36
3/19/2015,33.08,43.36,57.67,37.31
3/20/2015,33.66,43.92,58.13,38.08
3/23/2015,33.56,43.74,58.27,38.69
3/24/2015,33.15,44.56,58.63,38.79
3/25/2015,32.14,43.86,58.07,38.97
3/26/2015,31.99,42.4,57.33,39.44
3/27/2015,32.12,43.36,57.77,39.08
3/30/2015,32.91,43,57.77,38.35
3/31/2015,32.33,43.24,58.04,38.14
04/01/2015,32.11,44.33,58.63,39.49
04/02/2015,32.3,43.49,58.32,39.27
04/06/2015,32.75,43.04,58.38,40.22
04/07/2015,32.6,43.67,58.45,39.9
04/08/2015,32.8,43.65,58.38,39.36
04/09/2015,33.09,42.55,57.94,38.84
04/10/2015,33.44,42.61,57.96,39.67
4/13/2015,33.15,42.73,58.19,39.15
4/14/2015,33.27,43.37,58.47,38.69
4/15/2015,33.56,43.3,58.55,39.28
4/16/2015,33.54,42.88,58.69,39.01
4/17/2015,32.77,43.84,58.86,39.41
4/20/2015,33.37,43.15,58.66,38.83
4/21/2015,33.28,42.66,58.4,39.23
4/22/2015,33.61,41.37,57.73,38.24
4/23/2015,33.78,41.73,58.09,38.8
4/24/2015,33.93,42.16,58.43,37.77
4/27/2015,33.64,42.22,58.31,39.21
4/28/2015,33.86,41.08,57.75,39.89
4/29/2015,33.57,40.09,57.27,39.36
4/30/2015,32.92,40.25,57.31,37.94
05/01/2015,33.61,39.13,56.67,37.78
05/04/2015,33.83,38.37,56.42,38.37
05/05/2015,33.04,38.37,56.29,38.6
05/06/2015,32.76,36.98,55.75,38.48
05/07/2015,33.02,37.92,56.17,37.93
05/08/2015,33.89,38.1,56.63,38.34
05/11/2015,33.56,36.49,55.5,38.04
05/12/2015,33.35,36.49,55.56,38.57
5/13/2015,33.38,35.9,55.42,39.99
5/14/2015,34.06,36.05,55.78,40.48
5/15/2015,34.14,37.51,56.59,40.75
5/18/2015,34.34,36.32,55.83,40.72
5/19/2015,34.31,35.65,55.31,39.53
5/20/2015,34.27,35.76,55.56,39.65
5/21/2015,34.48,36.76,56.2,39.47
5/22/2015,34.32,36.78,56.01,39.37
5/26/2015,33.59,38.05,56.63,38.26
5/27/2015,34.18,38.36,56.59,38.17
5/28/2015,34.12,38.06,56.67,38.25
5/29/2015,33.68,38.26,56.77,38.38
06/01/2015,33.82,37.41,56.22,38.29
06/02/2015,33.77,36.33,55.5,38.57
06/03/2015,33.96,35.21,54.53,37.94
06/04/2015,33.42,36,55.05,37.51
06/05/2015,33.27,35.2,54.32,37.02
06/08/2015,32.84,35.08,54.43,37.36
06/09/2015,32.84,34.54,54.11,37.44
06/10/2015,33.6,33.9,53.69,38.05
06/11/2015,33.81,35.34,54.47,37.75
06/12/2015,33.32,35.35,54.44,37.68
6/15/2015,33.01,35.45,54.7,38.07
6/16/2015,33.37,36.03,55.1,37.7
6/17/2015,33.48,35.54,55.22,38
6/18/2015,34.15,35.13,55.13,39.01
6/19/2015,33.76,36.07,55.66,38.95
6/22/2015,34.24,34.58,54.69,37.88
6/23/2015,34.27,34.18,54.39,37.42
6/24/2015,33.73,34.58,54.61,37.27
6/25/2015,33.51,34.46,54.38,37.1
6/26/2015,33.52,33.6,53.74,37.33
6/29/2015,32.15,35.34,55.06,37.58
6/30/2015,32.27,34.85,54.81,37.04
07/01/2015,32.74,33.83,54.19,36.84
07/02/2015,32.7,34.1,54.58,36.69
07/06/2015,32.5,35.33,55.31,36.91
07/07/2015,32.88,35.96,55.66,36.04
07/08/2015,31.81,36.65,56.06,36.22
07/09/2015,31.9,35.15,55.23,36.39
07/10/2015,32.72,34.13,54.45,36.48
7/13/2015,33.44,33.9,54.18,36.18
7/14/2015,33.74,34.1,54.47,36
7/15/2015,33.71,34.78,54.94,35.54
7/16/2015,34.22,35.27,54.97,35.29
7/17/2015,34.29,35.6,54.91,34.61
7/20/2015,34.33,35.26,54.7,32.72
7/21/2015,34.05,35.7,54.98,32.49
7/22/2015,33.9,36.17,55.13,32.24
7/23/2015,33.56,37.06,55.56,31.9
7/24/2015,32.84,37.28,55.67,32.51
7/27/2015,32.46,37.63,56.04,32.22
7/28/2015,33.24,37.21,55.75,32.32
7/29/2015,33.71,36.9,55.55,32.38
7/30/2015,33.73,37.37,55.71,31.89
7/31/2015,33.63,38.07,56.35,32.23
08/03/2015,33.39,38.66,56.71,31.76
08/04/2015,33.24,38.16,56.04,31.78
08/05/2015,33.49,37.61,55.7,31.57
08/06/2015,32.99,38.24,55.95,31.94
08/07/2015,32.82,39.2,56.45,32.13
08/10/2015,33.63,38.24,56.02,32.73
08/11/2015,33.01,39.42,56.79,33.02
08/12/2015,33.08,39.02,56.77,33.98
8/13/2015,33.02,38.85,56.42,33.43
8/14/2015,33.24,38.95,56.21,33.44
8/17/2015,33.63,39.35,56.47,33.59
8/18/2015,33.42,38.69,56.27,33.57
8/19/2015,32.89,39.48,57,34.43
8/20/2015,31.53,40.3,57.35,35.59
8/21/2015,29.56,40.51,57.74,36.11
8/24/2015,27.12,40.6,57.91,35.71
8/25/2015,26.47,39.31,57.25,34.85
8/26/2015,28.52,37.63,56.6,33.9
8/27/2015,29.9,37.71,56.55,33.91
8/28/2015,29.9,37.92,56.6,34.51
8/31/2015,29.43,37.53,56.41,34.57
09/01/2015,27.65,37.94,56.82,34.85
09/02/2015,28.72,37.22,56.61,34.45
09/03/2015,28.76,37.71,56.83,33.89
09/04/2015,27.89,38.23,57.16,33.76
09/08/2015,29.32,37.16,56.63,33.66
09/09/2015,28.5,37.45,56.76,32.88
09/10/2015,28.81,36.98,56.45,33.05
09/11/2015,29.06,37.39,56.8,32.84
9/14/2015,28.85,37.72,56.87,32.89
9/15/2015,29.57,36.1,55.99,32.7
9/16/2015,30.1,35.81,55.93,33.56
9/17/2015,29.95,36.7,56.84,34.31
9/18/2015,28.98,37.9,57.42,34.69
9/21/2015,29.26,36.71,56.79,34.36
9/22/2015,28.52,37.66,57.29,33.89
9/23/2015,28.4,37.32,57.15,34.18
9/24/2015,28.24,38.02,57.33,35.54
9/25/2015,28.2,37.3,57.05,35.19
9/28/2015,26.77,38.69,57.68,34.25
9/29/2015,26.81,38.82,58.07,33.96
