Date,Open,High,Low,Close,Volume,SPY R
23/01/2007,142.26,143.08,142.06,142.8,54091000,
24/01/2007,142.97,143.98,142.91,143.95,56469800,0.008053221
25/01/2007,143.84,143.92,142.01,142.26,74967600,-0.011740188
26/01/2007,142.57,142.65,141.58,142.16,74588304,-0.000702938
29/01/2007,142.19,142.8,141.74,142.05,66216700,-0.000773776
30/01/2007,142.35,142.86,142.06,142.79,70424096,0.005209433
31/01/2007,142.63,144.13,142.4,143.75,91905000,0.00672316
01/02/2007,144.15,144.66,143.91,144.61,69317296,0.005982609
02/02/2007,144.73,144.95,144.38,144.81,49607700,0.00138303
05/02/2007,144.7,144.94,144.34,144.85,45751400,0.000276224
06/02/2007,144.97,145.03,144.33,144.89,57084900,0.000276148
07/02/2007,145.12,145.36,144.57,145.21,55695600,0.002208572
08/02/2007,144.78,145.12,144.27,145.02,70648000,-0.00130845
09/02/2007,145.06,145.33,143.39,143.94,79086496,-0.007447249
12/02/2007,143.94,144.04,143.19,143.45,65663228,-0.003404196
13/02/2007,143.77,144.9,143.76,144.66,64113480,0.008434995
14/02/2007,144.8,145.9,144.78,145.61,66062344,0.006567123
15/02/2007,145.67,145.95,145.43,145.8,38727300,0.001304855
16/02/2007,145.44,145.76,145.23,145.73,39843500,-0.00048011
20/02/2007,145.56,146.2,144.06,146.04,56924500,0.002127222
21/02/2007,145.61,146.07,145.35,145.98,63994800,-0.000410846
22/02/2007,146.05,146.42,145.17,145.87,79081904,-0.000753528
23/02/2007,145.74,145.79,144.75,145.3,71988896,-0.003907589
26/02/2007,145.83,145.95,144.75,145.17,70096064,-0.000894701
27/02/2007,143.88,144.2,139,139.5,274953888,-0.039057657
28/02/2007,140.39,141.98,139.8,140.93,177574000,0.010250896
01/03/2007,139.34,141.25,138.05,140.51,212853504,-0.002980203
02/03/2007,140.05,140.66,138.66,138.67,162612800,-0.013095153
05/03/2007,137.93,139.58,137.33,137.35,144649808,-0.009519002
06/03/2007,138.78,140.12,137.72,139.7,143447200,0.017109574
07/03/2007,139.59,140.46,139.4,139.56,115253504,-0.001002147
08/03/2007,140.54,141.16,140.07,140.74,117903264,0.008455145
09/03/2007,141.31,141.42,140.08,140.78,107772800,0.000284212
12/03/2007,140.42,141.34,140.16,140.99,80384200,0.001491689
13/03/2007,140.18,140.77,138.04,138.25,190605200,-0.019434002
14/03/2007,138.43,139.36,136.75,139.28,231853792,0.007450271
15/03/2007,138.97,139.99,138.8,139.47,132435808,0.001364159
16/03/2007,139.31,139.63,138.12,138.53,122073808,-0.006739801
19/03/2007,139.25,140.33,138.55,140.2,96219352,0.012055151
20/03/2007,140.08,141.05,139.96,140.97,83364744,0.005492154
21/03/2007,141.1,143.65,140.82,143.29,153436544,0.016457402
22/03/2007,143.48,143.68,142.79,143.18,119002200,-0.000767674
23/03/2007,143.28,143.81,143.15,143.39,74431672,0.001466685
26/03/2007,143.5,143.65,142.09,143.2,113814328,-0.001325058
27/03/2007,143.12,143.16,142.39,142.86,100592592,-0.002374302
28/03/2007,142.14,142.47,141.26,141.82,152974784,-0.007279854
29/03/2007,142.54,142.61,141.19,141.97,139505744,0.001057679
30/03/2007,142.24,142.84,140.56,142,128208880,0.000211312
02/04/2007,142.16,142.46,140.89,142.16,30300064,0.001126761
03/04/2007,142.97,143.98,142.91,143.69,82515208,0.010762521
04/04/2007,143.69,143.95,143.16,143.85,64019624,0.001113508
05/04/2007,143.67,144.44,143.61,144.24,46871640,0.002711157
09/04/2007,144.65,144.8,144.15,144.44,51153140,0.001386578
10/04/2007,144.33,144.85,144.27,144.61,56641368,0.001176959
11/04/2007,144.82,144.86,143.54,144.02,106555128,-0.004079939
12/04/2007,143.74,144.92,143.34,144.66,116464752,0.004443827
