Open,High,Low,Close,Volume,TLT R
88.02,88.05,87.57,87.62,1096800,
87.66,87.7,87.5,87.61,463700,-0.000114129
87.45,87.47,86.88,86.98,1397000,-0.00719096
86.78,87.08,86.61,86.91,1737300,-0.000804783
87.06,87.1,86.6,86.72,1015300,-0.00218617
86.89,86.91,86.76,86.82,1295100,0.001153137
86.73,87.61,86.7,87.55,2078000,0.008408201
87.65,87.76,87,87.09,986200,-0.00525414
87.08,87.39,87.08,87.2,814700,0.001263061
87.4,87.46,87.16,87.32,395500,0.001376147
87.2,87.83,87.16,87.8,770500,0.005497022
87.9,88.12,87.84,88.06,836200,0.002961276
87.99,88.31,87.91,88.13,980200,0.000794913
87.89,87.92,87.55,87.63,878500,-0.005673437
87.49,87.65,87.33,87.43,467600,-0.002282323
87.49,87.49,87.2,87.24,1310600,-0.002173167
87.52,88.19,87.52,88.07,2262500,0.009513984
88.53,88.58,88.33,88.33,893800,0.002952197
88.59,88.72,88.48,88.64,1476700,0.003509566
88.5,88.85,88.5,88.84,847400,0.002256318
88.53,88.7,88.48,88.69,379800,-0.001688429
88.41,88.45,88.09,88.21,485200,-0.00541211
88.53,88.94,88.49,88.84,735700,0.007142047
89.21,89.44,89.11,89.43,763333,0.006641153
89.72,91.26,89.6,90.56,3243200,0.012635581
90.16,90.47,89.89,90.15,1701900,-0.004527385
90.35,90.43,89.65,89.74,2423990,-0.004547976
90.01,90.48,89.67,90.2,1619800,0.005125919
90.48,90.5,90.06,90.35,1505200,0.001662971
90.06,90.36,89.99,90.08,837400,-0.002988379
90.08,90.5,89.98,90.43,915400,0.003885435
90.29,90.42,90.11,90.35,574700,-0.000884662
89.38,89.9,89.19,89.4,1534700,-0.010514665
89.73,89.98,89.68,89.75,594400,0.003914989
90.23,90.34,89.98,90.29,553800,0.006016713
90.15,90.54,89.84,89.88,1698100,-0.004540924
89.76,89.96,89.67,89.87,394900,-0.000111259
89.67,89.92,89.65,89.85,623800,-0.000222544
89.58,89.7,89.52,89.66,693900,-0.002114636
89.94,89.95,89.69,89.71,768400,0.000557662
89.35,90.09,88.69,89.75,1513399,0.000445881
89.46,89.48,88.83,89.04,1484257,-0.007910864
89.19,89.2,88.78,88.79,1679700,-0.002807727
88.67,89.27,88.5,88.9,763594,0.001238878
88.68,88.81,88.56,88.75,619800,-0.001687289
88.91,89.11,88.41,88.57,816815,-0.002028169
88.54,88.67,88.32,88.45,823000,-0.001354861
88.65,88.92,88.22,88.28,2015100,-0.00192199
88.11,88.22,88.01,88.1,579520,-0.002038967
88.02,88.17,87.98,87.99,617000,-0.001248581
